"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.2node-bare.cs740-uwmadison-pg0.wisc.cloudlab.us",,,,"User:","sarthi"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --tcp --top-io --noheaders --nocolor --output /mnt/Work/FlexPushdownDB-Dev/logs/ffsa_latest_2_1650916080_dstat.txt",,,,"Date:","25 Apr 2022 14:48:01 CDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"tcp sockets",,,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","157","158","159","int","csw","lis","act","syn","tim","clo"
25-04 14:48:12,2.375,1.469,96.156,0,0,7852199936,62245105664,1419595776,59676962816,0,0,0,0,16610,4006,0,0,0,9661,21653,20,14,0,1,0
25-04 14:48:13,0.721,0.502,98.777,0,0,7851151360,62246154240,1419595776,59676962816,0,0,0,0,9944,27300,1,1,0,5567,11876,20,14,0,1,0
25-04 14:48:14,0.971,0.751,98.278,0,0,7850659840,62246645760,1419595776,59676962816,0,0,0,0,11590,274,0,0,0,5379,9457,20,14,0,1,0
25-04 14:48:15,0.313,0.282,99.373,0.031,0,7848689664,62248615936,1419595776,59676962816,0,16384,0,2,13138,66,1,1,0,4681,7022,20,14,0,1,0
25-04 14:48:16,1.002,1.002,97.933,0.063,0,7848374272,62248931328,1419595776,59676962816,0,45056,0,2,13180,816,0,0,0,5522,15294,20,14,0,1,0
25-04 14:48:17,0.876,0.595,98.529,0,0,7848230912,62249074688,1419595776,59676962816,0,0,0,0,27158,5287,1,1,0,6766,11664,20,14,0,1,1
25-04 14:48:18,1.190,0.846,97.964,0,0,7851520000,62245781504,1419595776,59676966912,0,0,0,0,20367,68576,0,0,0,5753,11392,20,14,0,1,0
25-04 14:48:19,0.721,0.282,98.997,0,0,7851008000,62246301696,1419595776,59676966912,0,0,0,0,15000,1286,1,1,0,5195,7295,20,14,0,1,0
25-04 14:48:20,0.689,0.595,98.685,0.031,0,7851089920,62246215680,1419599872,59676966912,0,20480,0,2,13566,118,0,0,0,5173,12371,20,14,0,1,0
25-04 14:48:21,0.563,0.626,98.748,0.063,0,7853133824,62244171776,1419599872,59676966912,0,45056,0,2,12552,184,1,1,0,4986,9937,20,14,0,1,0
25-04 14:48:22,1.502,0.501,97.997,0,0,7897808896,62199496704,1419599872,59676966912,0,0,0,0,42152100,80684258,0,0,0,6886,9968,20,14,0,1,0
25-04 14:48:23,11,1.156,87.844,0,0,8135053312,61962252288,1419599872,59676966912,0,0,0,0,104505654,200088238,1,1,0,11487,13714,20,14,0,1,0
25-04 14:48:24,15.095,1.556,83.349,0,0,8407035904,61690257408,1419599872,59676979200,0,0,0,0,196739163,376631402,0,0,0,19874,16180,20,14,0,1,0
25-04 14:48:25,16.579,0.869,82.521,0.031,0,8550436864,61546823680,1419603968,59677007872,0,20480,0,2,10140,0,1,1,0,18286,8048,20,14,0,1,0
25-04 14:48:26,15.901,0.652,83.416,0.031,0,8663871488,61433384960,1419603968,59677011968,0,16384,0,2,10338,294,0,0,0,14495,5806,20,14,0,1,0
25-04 14:48:27,14.953,1.246,83.801,0,0,8836718592,61260382208,1419603968,59677163520,0,0,0,0,9318,286,1,1,0,19983,20876,20,14,0,1,0
25-04 14:48:28,15.389,1.055,83.556,0,0,8941096960,61155991552,1419603968,59677175808,0,0,0,0,10326,118,0,0,0,15633,10666,20,14,0,1,0
25-04 14:48:29,15.685,1.333,82.982,0,0,9154568192,60942487552,1419603968,59677175808,0,0,0,0,10758,286,1,1,0,14394,9190,20,14,0,1,0
25-04 14:48:30,12.753,0.967,86.218,0.062,0,9289990144,60806905856,1419608064,59677327360,0,20480,0,2,11158,66,0,0,0,27452,16919,20,14,0,1,0
25-04 14:48:31,10.469,0.435,89.065,0.031,0,9325027328,60771868672,1419608064,59677327360,0,12288,0,2,9642,328,1,1,0,11530,7888,20,14,0,1,0
25-04 14:48:32,10.548,0.840,88.612,0,0,9362137088,60734758912,1419608064,59677327360,0,495616,0,30,9194,348,0,0,0,11965,13218,20,14,0,1,0
25-04 14:48:33,10.131,0.653,89.217,0,0,9398046720,60698849280,1419608064,59677327360,0,0,0,0,10086,110,1,1,0,11710,7886,20,14,0,1,0
25-04 14:48:34,10.654,0.530,88.816,0,0,9442353152,60654542848,1419608064,59677327360,0,0,0,0,9918,286,0,0,0,10214,7378,20,14,0,1,0
25-04 14:48:35,10.351,0.746,88.872,0.031,0,9498382336,60598480896,1419608064,59677360128,0,40960,0,2,7318,66,1,1,0,5667,11780,20,14,0,1,0
25-04 14:48:36,10.121,0.685,89.131,0.062,0,9570467840,60526383104,1419608064,59677372416,0,12288,0,2,8536,150,0,0,0,5855,9234,20,14,0,1,0
25-04 14:48:37,10.125,0.280,89.595,0,0,9638653952,60458196992,1419608064,59677372416,0,0,0,0,6366,118,1,1,0,5671,6510,20,14,0,1,0
25-04 14:48:38,10.351,0.715,88.934,0,0,9745780736,60351070208,1419608064,59677372416,0,0,0,0,7566,110,0,0,0,5908,9265,20,14,0,1,0
25-04 14:48:39,12.760,1.025,86.215,0,0,9930072064,60166778880,1419608064,59677372416,0,0,0,0,9558,286,1,1,0,75137,11345,20,14,0,1,0
25-04 14:48:40,15.874,0.839,83.225,0.062,0,9910140928,60186689536,1419612160,59677388800,0,20480,0,2,8638,66,0,0,0,18769,7340,20,14,0,1,0
25-04 14:48:41,16.025,0.497,83.447,0.031,0,10022834176,60073996288,1419612160,59677388800,0,12288,0,2,8502,328,1,1,0,20096,4601,20,14,0,0,0
25-04 14:48:42,15.884,0.839,83.276,0,0,10204884992,59891945472,1419612160,59677388800,0,0,0,0,8900,414,0,0,0,21068,6522,20,14,0,0,0
25-04 14:48:43,16.377,0.901,82.722,0,0,10178109440,59918704640,1419612160,59677405184,0,0,0,0,7866,110,1,1,0,6774,11164,20,14,0,0,0
25-04 14:48:44,15.755,1.088,83.157,0,0,10301349888,59795464192,1419612160,59677405184,0,0,0,0,9228,580,0,0,0,62770,6235,20,14,0,0,0
25-04 14:48:45,16.161,0.712,83.096,0.031,0,10257047552,59839750144,1419612160,59677421568,0,20480,0,2,8278,66,1,1,0,18904,6453,20,14,0,0,0
25-04 14:48:46,16.765,0.340,82.833,0.062,0,10298519552,59798278144,1419612160,59677421568,0,16384,0,2,7326,66,0,0,0,4402,4866,20,14,0,0,0
25-04 14:48:47,16.574,1.111,82.315,0,0,10371756032,59725041664,1419612160,59677421568,0,0,0,0,10692,220,1,1,0,33709,9455,20,14,0,0,0
25-04 14:48:48,16.953,0.983,82.064,0,0,10396524544,59700273152,1419612160,59677421568,0,0,0,0,7326,110,0,0,0,80513,8394,20,14,0,0,0
25-04 14:48:49,16.764,0.647,82.589,0,0,10456215552,59640582144,1419612160,59677421568,0,0,0,0,8100,352,1,1,0,28082,7800,20,14,0,0,0
25-04 14:48:50,15.216,1.790,82.963,0.031,0,10557415424,59539378176,1419612160,59677425664,0,20480,0,2,8638,66,0,0,0,163007,4800,20,14,0,0,0
25-04 14:48:51,16.322,1.604,82.012,0.062,0,10610077696,59486715904,1419612160,59677425664,0,12288,0,2,8682,328,1,1,0,180404,13177,20,14,0,0,0
25-04 14:48:52,15.869,1.111,83.019,0,0,10604412928,59492380672,1419612160,59677425664,0,0,0,0,9554,348,0,0,0,81895,7552,20,14,0,0,0
25-04 14:48:53,16.105,1.113,82.782,0,0,10588561408,59508232192,1419612160,59677425664,0,0,0,0,11121,2325,1,1,0,96179,7628,20,15,0,0,0
25-04 14:48:54,16.527,0.867,82.606,0,0,10592768000,59504025600,1419612160,59677425664,0,0,0,0,10186,740,0,0,0,43807,12531,20,14,0,0,0
25-04 14:48:55,16.884,0.867,82.218,0.031,0,10626760704,59470024704,1419620352,59677425664,0,16384,0,2,9838,66,1,1,0,37954,12460,20,14,0,0,0
25-04 14:48:56,16.440,0.402,83.127,0.031,0,10661199872,59435585536,1419620352,59677425664,0,28672,0,2,8718,330,0,0,0,42157,5250,20,14,0,0,0
25-04 14:48:57,16.104,0.929,82.967,0,0,10720116736,59376668672,1419620352,59677425664,0,0,0,0,9492,184,1,1,0,44943,6847,20,14,0,0,0
25-04 14:48:58,17.123,0.801,82.076,0,0,10773999616,59322785792,1419620352,59677425664,0,0,0,0,11164,238,0,0,0,34207,9444,20,14,0,0,0
25-04 14:48:59,16.610,0.863,82.527,0,0,10804510720,59292274688,1419620352,59677425664,0,0,0,0,10758,286,1,1,0,34992,9141,20,14,0,0,0
25-04 14:49:00,16.615,0.708,82.615,0.062,0,10820440064,59276345344,1419624448,59677421568,0,16384,0,2,9138,905,0,0,0,41515,10583,20,14,0,0,0
25-04 14:49:01,16.106,1.296,82.567,0.031,0,10849128448,59247652864,1419624448,59677425664,0,12288,0,2,20823,16532,1,1,0,120019,8125,20,14,0,0,0
25-04 14:49:02,16.749,1.172,82.079,0,0,10853588992,59243192320,1419624448,59677425664,0,8192,0,2,10640,450,0,0,0,85344,12723,20,14,0,0,0
25-04 14:49:03,16.523,0.865,82.613,0,0,10886770688,59210010624,1419624448,59677425664,0,0,0,0,8832,228,1,1,0,74977,11345,20,14,0,0,0
25-04 14:49:04,16.811,1.051,82.138,0,0,10896637952,59200131072,1419624448,59677437952,0,0,0,0,12582,28898,0,0,0,84403,15245,20,14,0,0,0
25-04 14:49:05,15.960,1.299,82.710,0.031,0,10892673024,59204096000,1419624448,59677437952,0,28672,0,2,8108,150,1,1,0,114023,8493,20,14,0,0,0
25-04 14:49:06,15.580,1.862,82.526,0.031,0,10896240640,59200495616,1419624448,59677470720,0,40960,0,2,11662,216,0,0,0,165610,20314,20,14,0,0,0
25-04 14:49:07,16.058,0.990,82.952,0,0,10881339392,59215347712,1419624448,59677515776,0,0,0,0,9666,244,1,1,0,110437,6308,20,14,0,0,0
25-04 14:49:08,16.235,0.833,82.932,0,0,10909122560,59187564544,1419624448,59677515776,0,200704,0,5,10206,164,0,0,0,48260,15097,20,14,0,0,0
25-04 14:49:09,16.409,0.588,83.003,0,0,10968997888,59127676928,1419624448,59677528064,0,0,0,0,9558,286,1,1,0,26595,8912,20,14,0,0,0
25-04 14:49:10,16.331,1.766,81.872,0.031,0,10906935296,59189661696,1419624448,59677605888,0,32768,0,2,10318,66,0,0,0,164335,22455,20,14,0,0,0
25-04 14:49:11,15.219,1.120,83.629,0.031,0,10876424192,59220127744,1419624448,59677650944,0,12288,0,2,10842,328,1,1,0,72533,18532,20,14,0,0,0
25-04 14:49:12,16.434,1.118,82.448,0,0,10900148224,59196342272,1419624448,59677704192,0,0,0,0,11870,1962,0,0,0,52208,23665,20,14,0,0,0
25-04 14:49:13,14.326,3.194,82.481,0,0,10827911168,59268280320,1419624448,59677999104,0,0,0,0,11394,1754,1,1,0,319227,26102,20,14,0,0,0
25-04 14:49:14,16.336,1.271,82.393,0,0,10542546944,59553615872,1419624448,59678027776,0,0,0,0,9678,286,0,0,0,58870,20446,20,14,0,0,0
25-04 14:49:15,14.819,2.377,82.772,0.031,0,10487123968,59608793088,1419624448,59678269440,0,20480,0,2,8218,66,1,1,0,177384,14289,20,14,0,0,0
25-04 14:49:16,16.176,0.651,83.111,0.062,0,10481266688,59614552064,1419624448,59678363648,0,40960,0,2,8544,1548,0,0,0,16374,13704,20,14,0,0,0
25-04 14:49:17,16.739,0.866,82.395,0,0,10461741056,59633704960,1419624448,59678724096,0,0,0,0,8826,220,1,1,0,16184,21842,20,14,0,0,0
25-04 14:49:18,11.748,1.754,86.497,0,0,8896409600,61198753792,1419624448,59678994432,0,1978368,0,56,14201,6433,0,0,0,35628,57855,20,14,0,0,0
25-04 14:49:19,6.272,1.324,92.405,0,0,7867961344,62226317312,1419624448,59679858688,0,0,0,0,319934,549374,1,1,0,50730,110514,20,14,0,0,0
25-04 14:49:20,0.501,0.407,99.029,0.063,0,7866834944,62227439616,1419628544,59679858688,0,110592,0,2,8698,66,0,0,0,4531,8548,20,14,0,0,0
25-04 14:49:21,0.999,0.781,98.157,0.062,0,7866609664,62227664896,1419628544,59679858688,0,40960,0,2,10086,66,1,1,0,5012,13880,20,14,0,0,0
25-04 14:49:22,1.159,0.407,98.434,0,0,7871643648,62222630912,1419628544,59679858688,0,0,0,0,2521114,4805706,0,0,0,4866,7895,20,14,0,0,0
25-04 14:49:23,0.752,0.439,98.809,0,0,7881351168,62212923392,1419628544,59679858688,0,0,0,0,13818934,26445370,1,1,0,4924,8806,20,14,0,0,0
25-04 14:49:24,0.439,0.376,99.185,0,0,7880925184,62213349376,1419628544,59679858688,0,0,0,0,9852,286,0,0,0,4622,8588,20,14,0,0,0
25-04 14:49:25,1.409,1.002,97.558,0.031,0,7877681152,62216593408,1419628544,59679858688,0,16384,0,2,11458,66,1,1,0,5558,13130,20,14,0,0,0
25-04 14:49:26,0.407,0.470,99.091,0.031,0,7877500928,62216773632,1419628544,59679858688,0,12288,0,2,7746,66,0,0,0,4607,8546,20,14,0,0,0
25-04 14:49:27,0.470,0.408,99.122,0,0,7875842048,62218432512,1419628544,59679858688,0,0,0,0,9906,220,1,1,0,4599,8487,20,14,0,0,0
25-04 14:49:28,0.407,0.501,99.061,0.031,0,7875194880,62219079680,1419628544,59679858688,0,1196032,0,27,8412,176,0,0,0,4669,8693,20,14,0,0,0
25-04 14:49:29,0.814,0.782,98.404,0,0,7872708608,62221565952,1419628544,59679858688,0,0,0,0,10880,516,1,1,0,4958,13954,20,14,0,0,0
25-04 14:49:30,0.376,0.344,99.249,0.031,0,7870984192,62223290368,1419632640,59679854592,0,53248,0,2,8158,66,0,0,0,4452,7068,20,14,0,0,0
25-04 14:49:31,0.533,0.502,98.903,0.063,0,7870894080,62223376384,1419632640,59679858688,0,12288,0,2,9066,66,1,1,0,4675,9860,20,14,0,0,0
25-04 14:49:32,0.376,0.157,99.467,0,0,7869984768,62224285696,1419632640,59679858688,0,0,0,0,8406,220,0,0,0,4364,7019,20,14,0,0,0
25-04 14:49:33,0.689,0.752,98.558,0,0,7869296640,62224973824,1419632640,59679858688,0,0,0,0,10566,110,1,1,0,4573,13705,20,14,0,0,0
25-04 14:49:34,0.407,0.470,99.123,0,0,7868104704,62226165760,1419632640,59679858688,0,0,0,0,10522,370,0,0,0,4403,8582,20,14,0,0,0
25-04 14:49:35,0.909,0.439,98.620,0.031,0,7867138048,62227132416,1419632640,59679858688,0,16384,0,2,8038,66,1,1,0,4912,7887,20,14,0,0,0
25-04 14:49:36,0.439,0.564,98.934,0.063,0,7867535360,62226735104,1419632640,59679858688,0,12288,0,2,11526,66,0,0,0,4513,10125,20,14,0,0,0
25-04 14:49:37,0.939,0.595,98.466,0,0,7865491456,62228779008,1419632640,59679858688,0,0,0,0,9666,220,1,1,0,4841,11372,20,14,0,0,0
25-04 14:49:38,0.439,0.407,99.154,0,0,7864983552,62229286912,1419632640,59679858688,0,0,0,0,10206,110,0,0,0,4544,8436,20,14,0,0,0
25-04 14:49:39,3.526,0.655,95.819,0,0,7952781312,62141489152,1419632640,59679858688,0,0,0,0,33312296,63782360,1,1,0,7320,12994,20,14,0,0,0
25-04 14:49:40,11.592,1.278,87.099,0.031,0,8154009600,61940260864,1419632640,59679858688,0,16384,0,2,173700634,332427992,0,0,0,15514,17840,20,14,0,0,0
25-04 14:49:41,15.437,1.240,83.292,0.031,0,8442351616,61651906560,1419632640,59679870976,0,12288,0,2,123624483,236743418,1,1,0,32993,10301,20,14,0,0,0
25-04 14:49:42,16.299,0.621,83.080,0,0,8578375680,61515849728,1419632640,59679903744,0,0,0,0,9846,118,0,0,0,16018,7027,20,14,0,0,0
25-04 14:49:43,15.576,1.055,83.370,0,0,8689815552,61404401664,1419632640,59679911936,0,0,0,0,9672,176,1,1,0,12038,6047,20,14,0,0,0
25-04 14:49:44,15.301,1.490,83.209,0,0,8850432000,61243629568,1419632640,59680063488,0,0,0,0,10098,286,0,0,0,21727,26289,20,14,0,0,0
25-04 14:49:45,14.704,0.935,84.330,0.031,0,8970248192,61123801088,1419632640,59680075776,0,24576,0,2,10198,66,1,1,0,44149,5991,20,14,0,0,0
25-04 14:49:46,15.025,1.465,83.479,0.031,0,9172226048,60921823232,1419632640,59680075776,0,12288,0,2,9666,66,0,0,0,23423,12104,20,14,0,0,0
25-04 14:49:47,12.916,0.840,86.243,0,0,9290862592,60803031040,1419632640,59680227328,0,0,0,0,8646,118,1,1,0,24490,17562,20,14,0,0,0
25-04 14:49:48,11.184,0.994,87.822,0,0,9329868800,60764024832,1419632640,59680227328,0,0,0,0,11292,176,0,0,0,17972,12477,20,14,0,0,0
25-04 14:49:49,10.119,0.750,89.132,0,0,9364156416,60729737216,1419632640,59680227328,0,0,0,0,9860,414,1,1,0,17029,7934,20,14,0,0,0
25-04 14:49:50,9.988,0.622,89.328,0.062,0,9399263232,60694626304,1419636736,59680227328,0,20480,0,2,12538,66,0,0,0,17044,6497,20,14,0,0,0
25-04 14:49:51,10.159,0.499,89.311,0.031,0,9435504640,60658384896,1419636736,59680227328,0,12288,0,2,10602,328,1,1,0,17642,9267,20,14,0,0,0
25-04 14:49:52,9.994,1.027,88.979,0,0,9498292224,60595564544,1419636736,59680260096,0,0,0,0,9072,220,0,0,0,13254,11805,20,14,0,0,0
25-04 14:49:53,10.184,0.685,89.131,0,0,9572175872,60521660416,1419636736,59680276480,0,0,0,0,8826,110,1,1,0,6169,9222,20,14,0,0,0
25-04 14:49:54,9.906,0.219,89.875,0,0,9640321024,60453515264,1419636736,59680276480,0,0,0,0,10812,184,0,0,0,5721,6493,20,14,0,0,0
25-04 14:49:55,10.927,0.718,88.323,0.031,0,9706827776,60387008512,1419636736,59680276480,0,20480,0,2,9358,66,1,1,0,6680,8269,20,14,0,0,0
25-04 14:49:56,10.364,0.965,88.640,0.031,0,9956737024,60137099264,1419636736,59680276480,0,12288,0,2,10386,66,0,0,0,11639,11140,20,14,0,0,0
25-04 14:49:57,13.420,1.398,85.182,0,0,10076000256,60017807360,1419636736,59680305152,0,0,0,0,8952,220,1,1,0,43344,8767,20,14,0,0,0
25-04 14:49:58,16.113,0.373,83.514,0,0,10078982144,60014825472,1419636736,59680305152,0,0,0,0,9672,176,0,0,0,8927,4852,20,14,0,0,0
25-04 14:49:59,16.362,1.085,82.553,0,0,10109583360,59984207872,1419636736,59680321536,0,8192,0,2,9926,516,1,1,0,6795,13782,20,14,0,0,0
25-04 14:50:00,16.517,0.217,83.235,0.031,0,10129076224,59964706816,1419644928,59680321536,0,28672,0,2,9424,320,0,0,0,4947,4998,20,14,0,0,0
25-04 14:50:01,16.254,0.805,82.879,0.062,0,10205184000,59888599040,1419644928,59680321536,0,8192,0,1,9882,328,1,1,0,86848,5999,20,14,0,0,0
25-04 14:50:02,16.311,0.834,82.762,0.093,0,10277974016,59815809024,1419644928,59680321536,0,98304,0,12,10932,220,0,0,0,39880,5181,20,14,0,0,0
25-04 14:50:03,17.048,0.587,82.366,0,0,10333609984,59760173056,1419644928,59680321536,0,0,0,0,10146,110,1,1,0,59905,8188,20,14,0,0,0
25-04 14:50:04,16.954,1.200,81.815,0.031,0,10392768512,59701014528,1419644928,59680321536,0,729088,0,65,11072,1810,0,0,0,20679,9742,20,14,0,0,0
25-04 14:50:05,16.440,0.586,82.943,0.031,0,10424221696,59669561344,1419644928,59680321536,0,53248,0,2,9118,66,1,1,0,35690,8717,20,14,0,0,0
25-04 14:50:06,16.094,0.990,82.916,0,0,10548736000,59545047040,1419644928,59680321536,0,0,0,0,9006,66,0,0,0,69551,5103,20,14,0,0,0
25-04 14:50:07,17.041,1.261,81.636,0.062,0,10647011328,59446771712,1419644928,59680321536,0,57344,0,2,9252,220,1,1,0,29940,11283,20,14,0,0,0
25-04 14:50:08,16.996,0.740,82.264,0,0,10643976192,59449806848,1419644928,59680321536,0,0,0,0,9306,110,0,0,0,39924,9326,20,14,0,0,0
25-04 14:50:09,16.507,0.617,82.876,0,0,10608562176,59485220864,1419644928,59680321536,0,0,0,0,10766,570,1,1,0,29136,5394,20,14,0,0,0
25-04 14:50:10,16.728,0.525,82.747,0,0,10598088704,59495694336,1419644928,59680321536,0,16384,0,2,7798,66,0,0,0,27986,5643,20,14,0,0,0
25-04 14:50:11,16.996,0.648,82.357,0,0,10619015168,59474767872,1419644928,59680321536,0,0,0,0,8202,328,1,1,0,13276,11692,20,14,0,0,0
25-04 14:50:12,16.342,0.743,82.885,0.031,0,10655551488,59438231552,1419644928,59680321536,0,8192,0,1,7332,220,0,0,0,34128,8695,20,14,0,0,0
25-04 14:50:13,16.785,0.804,82.380,0.031,0,10696491008,59397292032,1419644928,59680321536,0,4096,0,1,12172,1754,1,1,0,51086,13280,20,14,0,0,0
25-04 14:50:14,16.403,0.930,82.667,0,0,10737680384,59356098560,1419644928,59680321536,0,0,0,0,11646,1762,0,0,0,55576,14993,20,14,0,0,0
25-04 14:50:15,16.692,1.419,81.857,0.031,0,10790907904,59302875136,1419644928,59680321536,0,16384,0,2,9658,66,0,0,0,119942,10642,20,14,0,0,0
25-04 14:50:16,16.672,1.169,82.159,0,0,10827214848,59266568192,1419644928,59680321536,0,0,0,0,8886,66,1,1,0,127167,9247,20,14,0,0,0
25-04 14:50:17,16.790,0.800,82.411,0,0,10842689536,59251093504,1419644928,59680321536,0,0,0,1,7566,118,0,0,0,54051,6624,20,14,0,0,0
25-04 14:50:18,16.600,0.769,82.601,0.031,0,10851827712,59241955328,1419644928,59680321536,0,45056,0,1,7566,110,1,1,0,91913,8158,20,14,0,0,0
25-04 14:50:19,16.512,1.824,81.664,0,0,10896777216,59197005824,1419644928,59680321536,0,0,0,0,11452,1962,0,0,0,103282,20703,20,14,0,0,0
25-04 14:50:20,15.963,1.233,82.773,0.031,0,10936209408,59157557248,1419649024,59680333824,0,20480,0,2,9178,66,1,1,0,173598,6278,20,14,0,0,0
25-04 14:50:21,16.059,1.112,82.829,0,0,10948530176,59145236480,1419649024,59680333824,0,0,0,0,8682,328,0,0,0,63713,12986,20,14,0,0,0
25-04 14:50:22,16.662,0.987,82.351,0,0,10936741888,59157024768,1419649024,59680333824,0,0,0,0,8652,220,1,1,0,70714,11199,20,14,0,0,0
25-04 14:50:23,16.084,1.206,82.648,0.062,0,10921361408,59172405248,1419649024,59680333824,0,40960,0,2,9186,110,0,0,0,57102,10353,20,14,0,0,0
25-04 14:50:24,15.454,1.425,83.122,0,0,10950963200,59142758400,1419649024,59680378880,0,0,0,0,10092,286,1,1,0,143509,12957,20,14,0,0,0
25-04 14:50:25,16.128,0.963,82.878,0.031,0,10884718592,59208970240,1419649024,59680411648,0,20480,0,2,9058,66,0,0,0,57641,17617,20,14,0,0,0
25-04 14:50:26,15.985,1.518,82.497,0,0,10846085120,59247509504,1419649024,59680501760,0,0,0,0,8946,66,1,1,0,60635,14617,20,14,0,0,0
25-04 14:50:27,15.993,0.653,83.354,0,0,10869764096,59223814144,1419649024,59680518144,0,0,0,0,8292,220,0,0,0,11966,16989,20,14,0,0,0
25-04 14:50:28,15.750,0.715,83.504,0.031,0,10848763904,59244724224,1419649024,59680608256,0,12288,0,2,9612,176,1,1,0,10060,13755,20,14,0,0,0
25-04 14:50:29,13.257,0.838,85.905,0,0,10842431488,59251044352,1419649024,59680620544,0,0,0,0,9800,516,0,0,0,37853,20349,20,14,0,0,0
25-04 14:50:30,15.723,1.764,82.482,0.031,0,10657464320,59435712512,1419657216,59680903168,0,20480,0,2,9912,140,1,1,0,157850,20219,20,14,1,0,0
25-04 14:50:31,16.631,1.419,81.950,0,0,10439360512,59653615616,1419657216,59681062912,0,0,0,0,12274,3199,0,0,0,86758,14081,20,14,0,0,0
25-04 14:50:32,16.202,0.434,83.364,0,0,10445312000,59647496192,1419657216,59681226752,0,0,0,0,10164,1568,1,1,0,50288,12891,20,14,0,0,0
25-04 14:50:33,16.316,0.958,82.664,0.062,0,10429276160,59663335424,1419657216,59681419264,0,32768,0,2,7746,110,0,0,0,47566,15059,20,14,0,0,0
25-04 14:50:34,15.820,1.827,82.353,0,0,10415656960,59676684288,1419657216,59681681408,0,0,0,0,8662,370,1,1,0,157368,25788,20,14,0,0,0
25-04 14:50:35,6.428,2.217,91.292,0.063,0,7866204160,62225219584,1419657216,59682574336,0,2330624,0,71,230094,375529,0,0,0,69456,138633,20,14,0,0,0
25-04 14:50:36,1.254,0.502,98.245,0,0,7870124032,62221107200,1419657216,59682762752,0,0,0,0,103465,178280,1,1,0,8105,15061,20,14,0,0,0
25-04 14:50:37,0.407,0.376,99.217,0,0,7868100608,62223130624,1419657216,59682762752,0,0,0,0,10146,118,0,0,0,4569,8343,20,14,0,0,0
25-04 14:50:38,0.783,0.721,98.464,0.031,0,7866470400,62224760832,1419657216,59682762752,0,12288,0,2,10986,110,1,1,0,5227,13756,20,14,0,0,0
25-04 14:50:39,2.816,0.469,96.715,0,0,7917080576,62174150656,1419657216,59682762752,0,0,0,0,28007078,53603882,0,0,0,6321,9376,20,14,0,0,0
